brand,valor_antigo,Valor_atual,desconto,avaliacao,Quantidade de avaliação,Parcelamento,Observacao
iPhone 11 Pro Max 256gb Original Promoção,3.299,2.903,12% OFF,3.9,(7),10x 290,Disponível em 3 cores
iPhone 8 64gb Cinza Espacial Excelente - Usado,829,829,,,,10x 80,
iPhone 8 Plus 64gb Dourado Bom - Trocafone - Celular Usado,909,909,,5.0,(7),10x 90,
Vitrine Apple iPhone 11 Pro 256gb Original - Envio Imediato,2.999,2.489,17% OFF,5.0,(2),10x 248,
Celular iPhone 12  Azul 128 Gb De Vitrine Original + Brindes,2.549,2.421,5% OFF,,,10x 242,
iPhone 11 Pro 64 Gb Promoção Original Com Nota Fiscal,2.291,2.291,,,,10x 222,Disponível em 2 cores
Apple iPhone 14 Plus (256 GB) - (PRODUCT)RED - Distribuidor autorizado,6.499,5.659,12% OFF,4.9,(2087),10x 543,Disponível em 5 cores
Apple iPhone 15 Plus (128 GB) - Preto - Distribuidor autorizado,7.301,7.301,,4.7,(85),10x 730,Disponível em 5 cores
Apple iPhone 14 (256 GB) - Amarelo - Distribuidor Autorizado,6.499,5.529,14% OFF,4.9,(6382),10x 552,Disponível em 6 cores
Apple iPhone 11 (64 Gb) - Branco,1.899,1.899,,4.5,(19),10x 189,
